adaptive_success,claude_success,name,input_tokens_4o,min_input_tokens_4o,max_input_tokens_4o,input_tokens_mini,min_input_tokens_mini,max_input_tokens_mini,input_tokens_claude,min_input_tokens_claude,max_input_tokens_claude,output_tokens_4o,min_output_tokens_4o,max_output_tokens_4o,output_tokens_mini,min_output_tokens_mini,max_output_tokens_mini,output_tokens_claude,min_output_tokens_claude,max_output_tokens_claude,_4o_runs,min_4o_runs,max_4o_runs,mini_runs,min_mini_runs,max_mini_runs,claude_runs,min_claude_runs,max_claude_runs,adaptive_hls,min_adaptive_hls,max_adaptive_hls,adaptive_compile,min_adaptive_compile,max_adaptive_compile,adaptive_area,min_adaptive_area,max_adaptive_area,adaptive_latency,min_adaptive_latency,max_adaptive_latency,claude_hls,min_claude_hls,max_claude_hls,claude_compile,min_claude_compile,max_claude_compile,claude_area,min_claude_area,max_claude_area,claude_latency,min_claude_latency,max_claude_latency,claude_cost,min_claude_cost,max_claude_cost,adaptive_cost,min_adaptive_cost,max_adaptive_cost
6,7,Cipher,93833.33333333333,56415,209001,36089.166666666664,16354,62375,49546.857142857145,41653,53169,20542.333333333332,15631,31980,11316.666666666666,4352,21587,17444.14285714286,15222,19224,14.5,11,21,8.333333333333334,6,11,16.285714285714285,15,18,16.0,16,16,34.833333333333336,29,44,17812.600000000002,6660.8,20920.0,231.16666666666666,159,571,19.428571428571427,19,21,27.285714285714285,26,29,5523.771428571427,4097.2,6094.4,600.5714285714286,572,672,0.4103027142857143,0.353289,0.447867,0.4522100416666666,0.3024118,0.86461095
10,9,sha256_update,29474.1,6380,47648,6063.7,4109,17368,49369.22222222222,36152,93354,8386.6,2318,12021,2663.1,1987,6244,14729.222222222223,10918,20906,6.2,3,8,2.5,2,5,11.666666666666666,9,16,6.1,6,7,12.7,9,14,47539.87000000001,37894.0,51580.9,421.9,67,573,6.0,6,6,16.0,14,20,41890.32222222222,41794.1,42227.1,83.0,83,83,0.369046,0.272226,0.593652,0.160058665,0.040938550000000004,0.2456816
9,10,Runs,6619.222222222223,4444,8369,6358.333333333333,3926,7015,11245.6,8909,14825,1778.5555555555557,1247,2106,1542.5555555555557,939,1870,3803.2,3182,4606,4.555555555555555,4,5,3.888888888888889,3,4,6.8,6,8,2.0,2,2,11.555555555555555,10,12,439.0444444444445,24.4,1452.7,14564.0,0,65536,2.0,2,2,10.1,9,12,567.24,24.4,2050.6,39322.2,0,65536,0.0907848,0.074457,0.113565,0.03621289444444444,0.0247323,0.04415675
6,10,quickSort,3049.1666666666665,889,13813,6659.5,5323,10654,14080.3,3234,23510,1342.0,770,3976,3094.5,2639,4257,5915.1,2710,8336,2.0,1,7,4.833333333333333,4,8,7.2,3,10,4.333333333333333,4,6,9.333333333333334,7,19,61850.53333333333,11922.6,83227.0,4.0,4,4,4.8,4,7,10.0,5,15,58270.55,11856.9,107750.3,2.5,1,4,0.13096739999999998,0.050352,0.19557,0.023898541666666665,0.01230435,0.07844480000000001
3,10,present80_encryptBlock,58336.666666666664,39908,80857,20076.0,19533,21153,53933.0,47641,63087,15080.0,13607,15923,7958.666666666667,7380,9040,23524.2,21109,25317,17.0,16,18,9.0,9,9,24.7,23,27,18.333333333333332,18,19,38.0,37,39,22245.166666666668,19262.8,24953.4,897.3333333333334,609,1154,18.3,18,20,37.5,36,41,21621.76,20420.3,29182.1,954.2,280,1529,0.514662,0.459558,0.569016,0.30442826666666667,0.24319795000000002,0.36996945000000003
1,1,Overlapping,15675.0,15675,15675,8782.0,8782,8782,33111.0,33111,33111,3757.0,3757,3757,2660.0,2660,2660,13313.0,13313,13313,6.0,6,6,4.0,4,4,14.0,14,14,2.0,2,2,14.0,14,14,110.6,110.6,110.6,0.0,0,0,5.0,5,5,22.0,22,22,38160.0,38160.0,38160.0,583.0,583,583,0.299028,0.299028,0.299028,0.0796708,0.0796708,0.0796708
10,10,Frequency,1516.5,1358,2708,1168.4,870,3854,2630.3,2603,2673,729.6,658,1069,364.4,274,1053,1410.2,1350,1479,2.1,2,3,1.2,1,3,3.0,3,3,2.0,2,2,4.3,4,7,808.5,808.5,808.5,1.0,1,1,2.0,2,2,4.0,4,4,455.75,98.3,813.2,64.5,1,128,0.0290439,0.028059,0.030204,0.011481149999999999,0.0102699,0.018669900000000003
0,0,des_crypt,0,99999,0,0,99999,0,0,99999,0,0,99999,0,0,99999,0,0,99999,0,0,99999,0,0,99999,0,0,99999,0,0,99999,0,0,99999,0,0,99999,0,0,99999,0,0,99999,0,0,99999,0,0,99999,0,0,99999,0,0,99999,0,0,99999,0
9,10,CumulativeSums,2125.6666666666665,1439,4708,1982.6666666666667,957,6843,3090.7,3047,3141,960.5555555555555,719,1345,668.8888888888889,320,1998,1783.0,1735,1835,2.2222222222222223,2,3,1.5555555555555556,1,4,3.0,3,3,2.0,2,2,5.444444444444445,4,12,1787.1444444444442,1522.7,2309.7,11112.777777777777,1,60000,2.0,2,2,4.0,4,4,205.09999999999997,205.1,205.1,20001.0,20001,20001,0.036017099999999996,0.035166,0.036948,0.015618455555555555,0.011123049999999999,0.02744525
0,7,BlockFrequency,0,99999,0,0,99999,0,22282.14285714286,10592,37509,0,99999,0,0,99999,0,7555.0,4731,10353,0,99999,0,0,99999,0,12.142857142857142,8,17,0,99999,0,0,99999,0,0,99999,0,0,99999,0,4.142857142857143,4,5,14.428571428571429,10,20,3306.528571428571,548.1,11325.2,1.0,1,1,0.1801714285714286,0.102741,0.267822,0,99999,0
